fileid,labsamplename,labcategoryname,labcategorycode,labtestname,labtestcode,unit,result,resultasnumeric,resultmathoperation,asbestosdetected,labsampletype
-1,K22-De0001391,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Asbestos Presence / Absence,,,Asbestos NOT detected,,,Not Detected,Solid
-1,K22-De0001391,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Description of Asbestos Form,,,-,,,,Solid
-1,K22-De0001391,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Asbestos in ACM as % of Total Sample,,,-,,,,Solid
-1,K22-De0001391,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Combined Fibrous Asbestos + Asbestos Fines as % of Total Sample,,,-,,,,Solid
-1,K22-De0001391,Metals,,Arsenic,,,,,,,Solid
-1,K22-De0001391,Metals,,Cadmium,,,,,,,Solid
-1,K22-De0001391,Metals,,Chromium,,,,,,,Solid
-1,K22-De0001391,Metals,,Copper,,,,,,,Solid
-1,K22-De0001391,Metals,,Lead,,,,,,,Solid
-1,K22-De0001391,Metals,,Nickel,,,,,,,Solid
-1,K22-De0001391,Metals,,Zinc,,,,,,,Solid
-1,K22-De0001391,Heavy Metals,,Chromium,,,,,,,Solid
-1,K22-De0001391,Heavy Metals,,Copper,,,,,,,Solid
-1,K22-De0001391,Heavy Metals,,Cadmium,,,,,,,Solid
-1,K22-De0001391,Fibrous Asbestos (FA) >10 mm,,FA % asbestos (weighted average),,,N/A,,,,Solid
-1,K22-De0001391,Fibrous Asbestos (FA) >10 mm,,FA Asbestos in Soil,,,<0.001,0.0010,<,,Solid
-1,K22-De0001391,Fibrous Asbestos (FA) >10 mm,,Total FA,,,<0.00001,0.0000,<,,Solid
-1,K22-De0001391,Fibrous Asbestos (FA) <10 mm,,FA % asbestos (weighted average),,,N/A,,,,Solid
-1,K22-De0001391,Fibrous Asbestos (FA) <10 mm,,FA Asbestos in Soil,,,<0.001,0.0010,<,,Solid
-1,K22-De0001391,Fibrous Asbestos (FA) <10 mm,,Total FA,,,<0.00001,0.0000,<,,Solid
-1,K22-De0001391,Asbestos in Soils (NZ GAMAS),,Weight (<10 mm >2 mm),,,312,312.0000,,,Solid
-1,K22-De0001391,Asbestos in Soils (NZ GAMAS),,Weight (>10 mm),,,30.05,30.0500,,,Solid
-1,K22-De0001391,Asbestos in Soils (NZ GAMAS),,Weight (<2 mm),,,149.53,149.5300,,,Solid
-1,K22-De0001391,Asbestos in Soils (AS 4964-2004),,Trace Analysis,,,No trace asbestos detected.,,,,Solid
-1,K22-De0001391,Asbestos in Soils (AS 4964-2004),,Asbestos Detected,,,No,,,,Solid
-1,K22-De0001391,Asbestos in Soils (AS 4964-2004),,Sample Description,,,Fine grained soil and rocks,,,,Solid
-1,K22-De0001391,Asbestos in Soils (AS 4964-2004),,Asbestos Content (as asbestos),,,<0.01,0.0100,<,,Solid
-1,K22-De0001391,Asbestos in Soils (AS 4964-2004),,Received Weight,,,648.75,648.7500,,,Solid
-1,K22-De0001391,Asbestos in Soils (AS 4964-2004),,Total Analytical Fraction,,,503.26,503.2600,,,Solid
-1,K22-De0001391,Asbestos in Soils (AS 4964-2004),,Total Dry Mass,,,503.26,503.2600,,,Solid
-1,K22-De0001391,Asbestos Fines (AF) < 10 mm,,AF Asbestos in Soil,,,<0.001,0.0010,<,,Solid
-1,K22-De0001391,Asbestos Fines (AF) < 10 mm,,Total AF,,,<0.00001,0.0000,<,,Solid
-1,K22-De0001391,Asbestos Containing Materials (ACM) >10 mm,,Total ACM (> 10mm),,,<0.1,0.1000,<,,Solid
-1,K22-De0001391,Asbestos (Presence/Absence),,Asbestos type,,,Chrysotile (White Asbestos) detected,,,,Solid
-1,K22-De0001391,Asbestos (Presence/Absence),,Asbestos form,,,-,,,,Solid
-1,K22-De0001391,,,Asbestos Sample Description,,,,,,,Solid
-1,K22-De0001391,,,% Moisture,,,,,,,Solid
-1,K22-De0001390,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Description of Asbestos Form,,,Weathered fibre cement fragments and loose fibre bundles.,,,,Solid
-1,K22-De0001390,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Asbestos Presence / Absence,,,Chrysotile (White Asbestos) detected),,,Detected,Solid
-1,K22-De0001390,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Asbestos in ACM as % of Total Sample,,,0.38,0.3800,,,Solid
-1,K22-De0001390,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Combined Fibrous Asbestos + Asbestos Fines as % of Total Sample,,,0.301,0.3010,,,Solid
-1,K22-De0001390,Metals,,Arsenic,,,,,,,Solid
-1,K22-De0001390,Metals,,Cadmium,,,,,,,Solid
-1,K22-De0001390,Metals,,Chromium,,,,,,,Solid
-1,K22-De0001390,Metals,,Copper,,,,,,,Solid
